B-cells-M,Memory B cells,,,,,,,,,,,,,,,,,,,,,,,,
B-cells-PB,Plasmablast B cells,,,,,,,,,,,,,,,,,,,,,,,,
Basal cell,Basal cells,,,,,,,,,,,,,,,,,,,,,,,,
Ciliated cell,Cilated cells,,,,,,,,,,,,,,,,,,,,,,,,
Club cell,Club cells,,,,,,,,,,,,,,,,,,,,,,,,
Dendritic,Dendritic cells,,,,,,,,,,,,,,,,,,,,,,,,
Endothelial,Endothelial cells,,,,,,,,,,,,,,,,,,,,,,,,
Fibroblast,Fibroblast cells,,,,,,,,,,,,,,,,,,,,,,,,
Hepatocyte,Hepatocyte cells,,,,,,,,,,,,,,,,,,,,,,,,
Ionocyte,Ionocyte cells,,,,,,,,,,,,,,,,,,,,,,,,
Mast-cells,Mast cells,,,,,,,,,,,,,,,,,,,,,,,,
Melanocytes,Melanocytes,,,,,,,,,,,,,,,,,,,,,,,,
MF-Monocytes,Macrophages and Monocytes are grouped together,,,,,,,,,,,,,,,,,,,,,,,,
Neuroendocrine cell,Neuroendocrine cells,,,,,,,,,,,,,,,,,,,,,,,,
Neutrophils,Neutrophils,,,,,,,,,,,,,,,,,,,,,,,,
pDCs,Plasmacytoid dendritic cells,,,,,,,,,,,,,,,,,,,,,,,,
T-cells,T cells,,,,,,,,,,,,,,,,,,,,,,,,
Cancer cell,Cancer cells (as determined by inferCNV),,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Unknown cells from general clustering of all cells passing QC,,,,,,,,,,,,,,,,,,,,,,,,
Unknown stroma1,Unknown stroma fround in subclustering of epithelial cells,,,,,,,,,,,,,,,,,,,,,,,,
Unknown stroma2,Unknown stroma fround in subclustering of epithelial cells,,,,,,,,,,,,,,,,,,,,,,,,
Unknown stroma3,Unknown stroma fround in subclustering of epithelial cells,,,,,,,,,,,,,,,,,,,,,,,,
Unknown stroma4,Unknown stroma fround in subclustering of epithelial cells,,,,,,,,,,,,,,,,,,,,,,,,
Unknown stroma5,Unknown stroma fround in subclustering of epithelial cells,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Column Name Descriptions for Table 3. Cancer cell Annotation,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
cell_id,cell name,,,,,,,,,,,,,,,,,,,,,,,,
sample_name,unique name of sample,,,,,,,,,,,,,,,,,,,,,,,,
patient_id,unique patient identifier ,,,,,,,,,,,,,,,,,,,,,,,,
inferCNV_annotation,annotaion of cancer or non-cancer cell,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Column Name Descriptions for Table 4. Sample Analyses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,unique name of sample,,,,,,,,,,,,,,,,,,,,,,,,
Patient ID,unique patient indentifier,,,,,,,,,,,,,,,,,,,,,,,,
Immune Fractional Changes,list of samples included in finding fractional changes among treatment timepoints (code IM02),,,,,,,,,,,,,,,,,,,,,,,,
Macrophage Analysis,list of samples included in macrophage analysis (code IM03),,,,,,,,,,,,,,,,,,,,,,,,
Tcell Analysis,list of samples included in t-cell analysis (code IM04),,,,,,,,,,,,,,,,,,,,,,,,
NonImmune Analysis,list of samples included in non-immune cell analysis (code NI01),,,,,,,,,,,,,,,,,,,,,,,,
Epitheilal Analysis,list of samples included in epithelial cell only anlaysis and inferCNV (code NI02 and NI03) ,,,,,,,,,,,,,,,,,,,,,,,,
Cancer Cell Analysis,list of samples included in cancer cell compairisons among treatment timepoints (code NI04 and NI08),,,,,,,,,,,,,,,,,,,,,,,,
TH226 Longitudial Analysis,list of samples included in TH226 longitudial cancer cell analysis (code NI07),,,,,,,,,,,,,,,,,,,,,,,,
EGFR and ALK Cancer Cell Analysis,list of samples included in EGFR and ALK cancer cell only signature anlaysis (code NI16),,,,,,,,,,,,,,,,,,,,,,,,
PD Signauture Analysis,list of samples included in PD treatment timepoint cancer cell signature analysis (code NI17),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
